    25357/  4 | SET 0
    25471/  4 | 13434 
    25471/  4 | 13434 
    25471/  4 | 13434 
    25472/  4 | 13434 
    25472/  4 | 13434 
    25472/  4 | 13434 
    25476/  4 | SET 0
    25476/  4 | 0 
    25477/  4 | 0 
    25477/  4 | 0 
    25477/  4 | 0 
    25477/  4 | 0 
    25477/  4 | 0 
    25478/  4 | 0 
    25478/  4 | 0 
    25478/  4 | 0 
    25478/  4 | 0 
    25478/  4 | 0 
    25479/  4 | 0 
    25479/  4 | 0 
    25479/  4 | 0 
    25479/  4 | 0 
    25479/  4 | 0 
    25480/  4 | 0 
    25480/  4 | 0 
    25480/  4 | 0 
    25480/  4 | 0 
    25480/  4 | 0 
    25481/  4 | 0 
    25481/  4 | 0 
    25481/  4 | 0 
    25481/  4 | 0 
    25482/  4 | 0 
    25482/  4 | 0 
    25482/  4 | 0 
    25482/  4 | 0 
    25482/  4 | 0 
    25483/  4 | 0 
    25483/  4 | 0 
    25483/  4 | 0 
    25483/  4 | 0 
    25483/  4 | 0 
    25484/  4 | 0 
    25484/  4 | 0 
    25484/  4 | 0 
    25484/  4 | 0 
    25484/  4 | 0 
    25485/  4 | 0 
    25485/  4 | 0 
    25485/  4 | 0 
    25485/  4 | 0 
    25485/  4 | 0 
    25486/  4 | 0 
    25486/  4 | 0 
    25486/  4 | 0 
    25486/  4 | 7715 
    25486/  4 | 7715 
    25487/  4 | 7715 
    25487/  4 | 7715 
    25487/  4 | 7715 
    25487/  4 | 7715 
    25488/  4 | 7715 
    25488/  4 | 7715 
    25488/  4 | 7715 
    25488/  4 | 7715 
    25489/  4 | 7715 
    25489/  4 | 7715 
    25489/  4 | 7715 
    25489/  4 | 7715 
    25490/  4 | 7715 
    25490/  4 | 7715 
    25490/  4 | 7715 
    25490/  4 | 7715 
    25490/  4 | 7715 
    25491/  4 | 7715 
    25491/  4 | 7715 
    25491/  4 | 7715 
    25491/  4 | 7715 
    25492/  4 | 7715 
    25492/  4 | 7715 
    25492/  4 | 7715 
    25492/  4 | 7715 
    25493/  4 | 7715 
    25493/  4 | 7715 
    25493/  4 | 7715 
    25493/  4 | 7715 
    25494/  4 | 7715 
    25494/  4 | 7715 
    25494/  4 | 7715 
    25494/  4 | 7715 
    25494/  4 | 7715 
    25495/  4 | 7715 
    25495/  4 | 7715 
    25495/  4 | 7715 
    25495/  4 | 7715 
    25496/  4 | 7715 
    25496/  4 | 7715 
    25496/  4 | 7715 
    25496/  4 | 7715 
    25497/  4 | 7715 
